-74,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-79,-79,-78,-79,-80,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-45,-44,-44,-57,-58,-58,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-49,-49,-54,-61,-61,-60,-200,-200,-200,-76,-76,-76,-200,-200,-200,-200,-200,-200,-80,-200,-200,-89,-88,-88,-200,-66,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-82,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,6.8,34.6
-74,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-78,-200,-200,-82,-81,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-43,-43,-43,-56,-56,-57,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-51,-51,-52,-60,-61,-60,-71,-70,-70,-76,-76,-76,-200,-200,-200,-200,-200,-200,-81,-200,-82,-91,-90,-91,-200,-69,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,6.8,34.6
-74,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-80,-77,-78,-80,-80,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-43,-45,-44,-56,-56,-57,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-51,-51,-51,-61,-60,-61,-70,-70,-71,-77,-77,-78,-200,-200,-200,-200,-200,-200,-80,-200,-81,-87,-88,-87,-200,-67,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,6.8,34.6
-73,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-79,-76,-78,-79,-79,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-42,-44,-43,-59,-59,-59,-84,-200,-200,-90,-90,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-51,-50,-51,-60,-59,-60,-70,-69,-69,-76,-77,-76,-200,-200,-200,-200,-200,-200,-200,-80,-79,-88,-87,-87,-200,-69,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,6.8,34.6
-74,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-85,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-78,-77,-79,-79,-79,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-58,-60,-60,-82,-200,-85,-88,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-50,-49,-49,-59,-60,-59,-200,-200,-200,-78,-79,-79,-200,-200,-200,-200,-200,-200,-82,-79,-200,-85,-86,-86,-200,-200,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,6.8,34.6
-72,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-80,-80,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-46,-46,-46,-50,-53,-52,-200,-200,-200,-89,-89,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-54,-53,-52,-61,-61,-62,-200,-200,-200,-81,-81,-81,-200,-200,-200,-200,-200,-200,-79,-200,-200,-85,-85,-85,-200,-67,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,6.8,34.6
-71,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-78,-79,-79,-81,-80,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-47,-46,-46,-51,-52,-51,-200,-200,-200,-89,-88,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-53,-53,-53,-61,-61,-61,-200,-200,-200,-79,-80,-81,-200,-200,-200,-200,-200,-200,-200,-200,-83,-87,-87,-87,-200,-67,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,6.8,34.6
-68,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-78,-79,-78,-81,-81,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-47,-46,-46,-52,-51,-52,-83,-82,-200,-88,-89,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-53,-54,-52,-60,-61,-60,-70,-71,-70,-83,-82,-83,-200,-200,-200,-200,-200,-200,-200,-86,-82,-84,-86,-85,-200,-75,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,6.8,34.6
-71,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-81,-79,-80,-82,-82,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-47,-47,-48,-52,-52,-53,-200,-200,-87,-89,-88,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-55,-55,-54,-60,-60,-60,-200,-200,-200,-80,-81,-81,-200,-200,-200,-200,-200,-200,-81,-82,-81,-82,-82,-83,-200,-69,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,6.8,34.6
-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-82,-79,-80,-82,-83,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-48,-67,-47,-53,-54,-54,-200,-200,-200,-89,-88,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-60,-61,-61,-200,-72,-71,-81,-82,-82,-200,-200,-200,-200,-200,-200,-82,-80,-79,-81,-81,-81,-200,-68,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,6.8,34.6
