X,Y
4.1,6.9
10.9,6.9
17.7,6.9
24.5,6.9
31.3,6.9
38.1,6.9
4.1,30.4
10.9,30.4
17.7,30.4
24.5,30.4
31.3,30.4
38.1,30.4
19.2,7.7
19.2,14.5
19.2,22.8
19.2,29.6
19.2,2.6
12.6,18.6
18.1,18.6
15.5,33.7
20.6,33.7
21.7,23.3
23.4,25.0
26.6,29.3
28.2,25.4
33.5,28.8
6.8,33.7
1.7,33.7
11.7,35.4
30.6,35.4
