method,ALE_m,P50_m,P90_m
KNN,3.117183,2.682841,6.103855
KNN,3.107142,2.685382,6.128293
KNN,3.501172,3.244260,6.390123
KNN,3.959800,3.664289,7.052770
KNN,3.721941,3.414500,6.769737
KNN,3.501172,3.244260,6.390123
KNN,3.273743,2.848654,6.225148
KNN,3.213905,2.834082,6.204300
KNN,3.136448,2.726266,6.128716
KNN,3.134642,2.654389,6.369724
KNN,3.119709,2.654575,6.322718
KNN,3.124792,2.626518,6.389003
KNN,3.119709,2.654575,6.322718
KNN,3.119709,2.654575,6.322718
KNN,3.119709,2.654575,6.322718
